Designator,Val,Mid X,Mid Y,Rotation,Layer
BT1,Battery_Cell,152.400000,-85.725000,135.000000,top
C1,6.8n,144.292000,-58.340000,0.000000,top
C2,6.8n,147.468000,-58.340000,0.000000,top
C3,6.8n,157.475000,-58.340000,0.000000,top
C4,6.8n,160.802000,-58.340000,0.000000,top
C5,0.1u,159.465000,-106.343000,270.000000,top
C6,1u,161.925000,-106.343000,90.000000,top
D1,D_Schottky,139.441000,-52.244000,270.000000,top
D2,D_Schottky,148.405000,-56.054000,180.000000,top
D3,LED,144.775000,-50.720000,90.000000,top
D4,LED,149.855000,-50.720000,90.000000,top
D5,D_Schottky,155.267000,-56.054000,0.000000,top
D6,D_Schottky,160.830000,-55.673000,180.000000,top
D7,LED,153.665000,-50.720000,90.000000,top
D8,LED,161.920000,-50.593000,90.000000,top
D9,D_Schottky,143.325000,-53.641000,0.000000,top
D10,D_Schottky,148.585000,-53.514000,0.000000,top
D11,D_Schottky,155.316000,-53.514000,180.000000,top
D12,D_Schottky,161.105000,-53.260000,0.000000,top
D13,D_Schottky,31.322000,-69.210000,270.000000,top
D14,LED,31.322000,-73.782000,270.000000,top
D15,D_Schottky,153.665000,-42.973000,0.000000,top
D16,LED,157.628000,-42.465000,0.000000,top
D17,D_Schottky,27.766000,-69.210000,270.000000,top
D18,LED,27.766000,-73.782000,270.000000,top
D19,D_Schottky,153.665000,-38.147000,0.000000,top
D20,LED,157.628000,-38.655000,0.000000,top
D21,D_Schottky,153.665000,-35.480000,0.000000,top
D22,LED,157.628000,-35.480000,0.000000,top
D23,D_Schottky,153.538000,-32.940000,0.000000,top
D24,LED,157.628000,-32.940000,0.000000,top
D25,D_Schottky,153.538000,-30.400000,0.000000,top
D26,LED,157.602000,-30.400000,0.000000,top
D28,LED,157.628000,-27.860000,0.000000,top
D29,D_Schottky,153.538000,-23.796000,180.000000,top
D30,D_Schottky,29.845000,-104.140000,90.000000,top
D31,D_Schottky,153.665000,-40.560000,0.000000,top
D32,LED,157.602000,-40.560000,0.000000,top
R1,1k,143.505000,-69.922500,270.000000,top
R2,1k,146.680000,-69.922500,270.000000,top
R3,10k,140.812000,-69.135000,180.000000,top
R4,10k,150.008000,-69.135000,0.000000,top
R5,1k,144.775000,-47.545000,90.000000,top
R6,1k,149.855000,-47.392500,270.000000,top
R7,1k,156.357000,-69.922500,270.000000,top
R8,1k,159.532000,-69.770000,270.000000,top
R9,10k,153.665000,-69.135000,180.000000,top
R10,10k,163.495000,-69.135000,0.000000,top
R11,1k,153.665000,-47.392500,90.000000,top
R12,1k,161.920000,-47.392500,270.000000,top
RN1,10k,29.290000,-78.100000,0,top
RN2,10k,161.285000,-31.670000,90,top
RN3,10k,161.285000,-40.560000,90,top
U1,VNLD5090,146.045000,-63.420000,90.000000,top
U2,VNLD5090,158.897000,-63.420000,90.000000,top
U4,ITEAD_HC-05,150.495000,-118.110000,180.000000,top
W1,TestPoint_2Pole,131.445000,-38.735000,270.000000,top
W2,TestPoint_2Pole,123.190000,-38.735000,270.000000,top
W3,TestPoint_2Pole,119.628000,-44.450000,270.000000,top
W4,TestPoint_2Pole,114.935000,-38.735000,270.000000,top
W5,TestPoint_2Pole,111.125000,-44.450000,270.000000,top
W6,TestPoint_2Pole,107.315000,-38.735000,270.000000,top
W7,TestPoint_2Pole,103.505000,-44.450000,270.000000,top
W8,TestPoint_2Pole,99.695000,-38.735000,270.000000,top
W9,TestPoint_2Pole,94.615000,-44.450000,270.000000,top
W10,TestPoint_2Pole,90.805000,-38.735000,270.000000,top
W11,TestPoint_2Pole,86.995000,-44.450000,270.000000,top
W12,TestPoint_2Pole,83.185000,-38.735000,270.000000,top
W13,TestPoint_2Pole,79.375000,-44.450000,270.000000,top
W14,TestPoint_2Pole,74.930000,-38.735000,270.000000,top
W15,TestPoint_2Pole,71.120000,-44.450000,270.000000,top
W16,TestPoint_2Pole,67.310000,-38.735000,270.000000,top
W17,TestPoint_2Pole,63.500000,-44.450000,270.000000,top
W18,TestPoint_2Pole,59.690000,-38.735000,270.000000,top
W19,TestPoint_2Pole,55.880000,-44.450000,270.000000,top
W20,TestPoint_2Pole,52.070000,-38.735000,270.000000,top
W21,TestPoint_2Pole,48.260000,-44.450000,270.000000,top
W22,TestPoint_2Pole,44.450000,-38.735000,270.000000,top
W23,TestPoint_2Pole,36.830000,-38.735000,270.000000,top
W24,TestPoint_2Pole,125.730000,-38.735000,270.000000,top
W25,TestPoint_2Pole,121.920000,-44.450000,270.000000,top
W26,TestPoint_2Pole,118.110000,-38.735000,270.000000,top
W27,TestPoint_2Pole,113.665000,-44.450000,270.000000,top
W28,TestPoint_2Pole,109.855000,-38.735000,270.000000,top
W29,TestPoint_2Pole,106.045000,-44.450000,270.000000,top
W30,TestPoint_2Pole,102.235000,-38.735000,270.000000,top
W31,TestPoint_2Pole,98.425000,-44.450000,270.000000,top
W32,TestPoint_2Pole,93.345000,-38.735000,270.000000,top
W33,TestPoint_2Pole,89.535000,-44.450000,270.000000,top
W34,TestPoint_2Pole,85.725000,-38.735000,270.000000,top
W35,TestPoint_2Pole,81.915000,-44.450000,270.000000,top
W36,TestPoint_2Pole,78.105000,-38.735000,270.000000,top
W37,TestPoint_2Pole,73.660000,-44.450000,270.000000,top
W38,TestPoint_2Pole,69.850000,-38.735000,270.000000,top
W39,TestPoint_2Pole,66.040000,-44.450000,270.000000,top
W40,TestPoint_2Pole,62.230000,-38.735000,270.000000,top
W41,TestPoint_2Pole,58.420000,-44.450000,270.000000,top
W42,TestPoint_2Pole,54.610000,-38.735000,270.000000,top
W43,TestPoint_2Pole,50.800000,-44.450000,270.000000,top
W44,TestPoint_2Pole,46.990000,-38.735000,270.000000,top
W45,TestPoint_2Pole,41.910000,-38.735000,270.000000,top
W46,TestPoint_2Pole,128.905000,-44.450000,270.000000,top
W47,TestPoint_2Pole,124.460000,-44.450000,270.000000,top
W48,TestPoint_2Pole,120.650000,-38.735000,270.000000,top
W49,TestPoint_2Pole,116.205000,-44.450000,270.000000,top
W50,TestPoint_2Pole,112.395000,-38.735000,270.000000,top
W51,TestPoint_2Pole,108.585000,-44.450000,270.000000,top
W52,TestPoint_2Pole,104.775000,-38.735000,270.000000,top
W53,TestPoint_2Pole,100.965000,-44.450000,270.000000,top
W54,TestPoint_2Pole,95.885000,-38.735000,270.000000,top
W55,TestPoint_2Pole,92.075000,-44.450000,270.000000,top
W56,TestPoint_2Pole,88.265000,-38.735000,270.000000,top
W57,TestPoint_2Pole,84.455000,-44.450000,270.000000,top
W58,TestPoint_2Pole,80.645000,-38.735000,270.000000,top
W59,TestPoint_2Pole,76.200000,-44.450000,270.000000,top
W60,TestPoint_2Pole,72.390000,-38.735000,270.000000,top
W61,TestPoint_2Pole,68.580000,-44.450000,270.000000,top
W62,TestPoint_2Pole,64.770000,-38.735000,270.000000,top
W63,TestPoint_2Pole,60.960000,-44.450000,270.000000,top
W64,TestPoint_2Pole,57.150000,-38.735000,270.000000,top
W65,TestPoint_2Pole,53.340000,-44.450000,270.000000,top
W66,TestPoint_2Pole,49.530000,-38.735000,270.000000,top
W67,TestPoint_2Pole,45.720000,-44.450000,270.000000,top
W68,TestPoint_2Pole,39.370000,-38.735000,270.000000,top
